date,id
03/10/2019,MVM19
10/10/2019,MVM19
06/08/2019,MVM18
13/08/2019,MVM18
20/08/2019,MVM18
27/08/2019,MVM18
03/09/2019,MVM18
10/09/2019,MVM18
17/09/2019,MVM18
24/09/2019,MVM18
01/10/2019,MVM18
08/10/2019,MVM18
15/10/2019,MVM18
27/08/2019,MVM15
10/09/2019,MVM15
17/09/2019,MVM15
01/10/2019,MVM15
15/10/2019,MVM15
06/08/2019,MVM12
13/08/2019,MVM12
20/08/2019,MVM12
27/08/2019,MVM12
08/10/2019,MVM12
15/10/2019,MVM12
01/08/2019,MVM10
08/08/2019,MVM10
13/08/2019,MVM10
22/08/2019,MVM10
29/08/2019,MVM10
05/09/2019,MVM10
12/09/2019,MVM10
19/09/2019,MVM10
26/09/2019,MVM10
03/10/2019,MVM10
10/10/2019,MVM10
08/08/2019,MVM02
03/09/2019,MVM02
10/09/2019,MVM02
17/09/2019,MVM02
24/09/2019,MVM02
01/10/2019,MVM02
08/10/2019,MVM02
06/08/2019,MVM97
13/08/2019,MVM97
22/08/2019,MVM97
27/08/2019,MVM97
03/09/2019,MVM97
10/09/2019,MVM97
17/09/2019,MVM97
24/09/2019,MVM97
01/10/2019,MVM97
08/10/2019,MVM97
15/10/2019,MVM97
22/08/2019,MVM96
29/08/2019,MVM96
03/09/2019,MVM96
12/09/2019,MVM96
19/09/2019,MVM96
26/09/2019,MVM96
01/10/2019,MVM96
10/10/2019,MVM96
13/08/2019,MVM92
20/08/2019,MVM92
29/08/2019,MVM92
13/08/2019,MVM91
10/09/2019,MVM91
10/10/2019,MVM91
01/08/2019,MVM87
08/08/2019,MVM87
13/08/2019,MVM87
22/08/2019,MVM87
29/08/2019,MVM87
05/09/2019,MVM87
12/09/2019,MVM87
19/09/2019,MVM87
26/09/2019,MVM87
03/10/2019,MVM87
10/10/2019,MVM87
06/08/2019,MVM83
13/08/2019,MVM83
22/08/2019,MVM83
27/08/2019,MVM83
19/09/2019,MVM83
24/09/2019,MVM83
01/10/2019,MVM83
08/10/2019,MVM83
15/10/2019,MVM83
13/08/2019,MVM80
20/08/2019,MVM80
03/09/2019,MVM80
19/09/2019,MVM80
03/10/2019,MVM80
10/10/2019,MVM80
12/09/2019,MVM77
17/09/2019,MVM77
08/10/2019,MVM77
